mesh_id,mesh_term,Cardiology,Dermatology,Endocrinology,GI Hepatology,Immuno Rheumatology,Infectious Diseases,Nephrology,Neurology,Psych General,Oncology,Otolaryngology,Pulmonary Medicine,Reproductive Medicine,Psych Specific,Hepatology Specific
G12.425.742.500,"Gene Rearrangement, B-Lymphocyte",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.742.500.501,"Gene Rearrangement, B-Lymphocyte, Heavy Chain",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.742.530,"Gene Rearrangement, T-Lymphocyte",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.742.530.111,"Gene Rearrangement, alpha-Chain T-Cell Antigen Receptor",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.742.530.211,"Gene Rearrangement, beta-Chain T-Cell Antigen Receptor",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.742.530.261,"Gene Rearrangement, delta-Chain T-Cell Antigen Receptor",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.742.765,"Somatic Hypermutation, Immunoglobulin",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.745,Immunologic Surveillance,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.746,Immunomodulation,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.746.425.800,Self Tolerance,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.746.425.910,Tachyphylaxis,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.746.575,Neuroimmunomodulation,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
G12.425.749,Lymphocyte Cooperation,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.897,Neutrophil Activation,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.899,Phagocytosis,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G12.425.901.402.320,Graft vs Tumor Effect,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G12.425.901.402.320.320,Graft vs Leukemia Effect,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G12.425.901.519,Histocompatibility,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.425.901.519.500,"Histocompatibility, Maternal-Fetal",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G12.425.901.545.340,Graft Survival,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
G12.425.905,Tumor Escape,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G12.450,Immunity,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.450.050,Adaptive Immunity,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.450.050.400.070,Antigen Presentation,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.450.050.400.412,Immunologic Surveillance,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.450.050.400.545,Lymphocyte Activation,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.450.050.420,"Immunity, Humoral",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.450.050.500,Immunologic Memory,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.450.562,"Immunity, Herd",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
G12.450.570,"Immunity, Maternally-Acquired",N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N
G12.450.900,T-Cell Antigen Receptor Specificity,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.460,Immunocompetence,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.470,Immunocompromised Host,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
G12.500,Immunogenetic Phenomena,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.199,Antibody Diversity,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.249,Antigenic Variation,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.299,"Genes, Immunoglobulin",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.349,Immunogenetic Processes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.349.500,"Gene Rearrangement, B-Lymphocyte",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.349.500.501,"Gene Rearrangement, B-Lymphocyte, Heavy Chain",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.349.500.501.450,Immunoglobulin Class Switching,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.349.500.601,"Gene Rearrangement, B-Lymphocyte, Light Chain",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.349.530,"Gene Rearrangement, T-Lymphocyte",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.349.530.211,"Gene Rearrangement, beta-Chain T-Cell Antigen Receptor",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.349.530.261,"Gene Rearrangement, delta-Chain T-Cell Antigen Receptor",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.349.765,"Somatic Hypermutation, Immunoglobulin",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.400.586,Immunoglobulin Gm Allotypes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.400.587,Immunoglobulin Km Allotypes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.450,Immunoglobulin Idiotypes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.500,Major Histocompatibility Complex,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.500.595,"Genes, MHC Class I",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.500.600,"Genes, MHC Class II",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G12.500.530,Minor Histocompatibility Loci,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
G13,Integumentary System Physiological Phenomena,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G13.500,Hair Color,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G13.750,Skin Physiological Phenomena,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G13.750.829,Skin Physiological Processes,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G13.750.829.320,Galvanic Skin Response,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G13.750.829.690,Piloerection,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
G13.750.829.820,Skin Absorption,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G13.750.829.833,Skin Pigmentation,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
G13.750.829.833.500,Suntan,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G13.750.829.855,Sweating,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G13.750.844,Skin Temperature,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G14,Ocular Physiological Phenomena,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.040,Afterimage,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.264,"Dominance, Ocular",N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
G14.330,"Evoked Potentials, Visual",N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
G14.370,Flicker Fusion,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.400,Glare,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.440,Intraocular Pressure,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640,Ocular Physiological Processes,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.079,"Accommodation, Ocular",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.154,"Adaptation, Ocular",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.154.371,Dark Adaptation,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.182,Blinking,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
G14.640.260,Eye Movements,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
G14.640.260.217,"Convergence, Ocular",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.260.378.500,"Nystagmus, Optokinetic",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.260.453,"Pursuit, Smooth",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.260.500,Saccades,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.816.186,Mesopic Vision,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.816.186.624,Rod-Cone Interaction,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.640.816.249,Night Vision,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.760,"Refraction, Ocular",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.930,Vision Disparity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G14.940,Visual Acuity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G15,Plant Physiological Phenomena,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G15.556,Plant Diseases,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G15.744.149,"Gametogenesis, Plant",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G15.744.300,Germination,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G15.744.450,Gravity Sensing,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G15.744.750,Plant Transpiration,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G15.744.800,Pollination,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G15.744.900,Tropism,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16,Biological Phenomena,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100,Biological Processes,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.057,"Adaptation, Biological",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.057.500.274,Allostasis,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.057.500.415,Estivation,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.275,Evolution,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.275.250,"Evolution, Molecular",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.275.350,Genetic Speciation,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.380,Host-Pathogen Interactions,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
G16.100.380.400,Host-Parasite Interactions,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
G16.100.380.700,Immune Evasion,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.856.150.150,Bone Regeneration,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.856.150.150.570,Osseointegration,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.856.891,Wound Healing,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.856.891.500,Fracture Healing,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.870,"Remission, Spontaneous",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.100.900,Symbiosis,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500,Ecological and Environmental Phenomena,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240,Ecological and Environmental Processes,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.135,Climatic Processes,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.135.249,Air Movements,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.135.249.200,Wind,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.135.374.750,Greenhouse Effect,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.135.843,Lightning,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.135.859,Rain,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.135.859.050,Acid Rain,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.135.867,Snow,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.300,Eutrophication,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.300.400,Harmful Algal Bloom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.240.960,Water Movements,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.249.049.250,Endangered Species,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.249.100,Biomass,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.249.240,"Ecological Systems, Closed",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.058,Altitude,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.063,Atmosphere,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.063.725.154.200,Wind,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.063.725.480,Snow,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.063.725.525,Sunlight,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.063.725.525.400,Infrared Rays,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.063.725.710.300,Cold Temperature,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.071,Climate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.071.450,Microclimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.071.590,Seasons,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.071.600,Tropical Climate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.240.200,Cosmic Dust,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.280,Fresh Water,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.280.500,Rivers,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.370,Hot Springs,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.600,Noise,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.640,Odors,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.810,Seawater,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.960,Wetlands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.275.965,Wilderness,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.320,Geologic Sediments,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.274.100,Air Pressure,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.274.902,Vacuum,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.795.530,"Mixed Tumor, Mesodermal",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.550,Myosarcoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.550.660,Rhabdomyosarcoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.550.660.665,"Rhabdomyosarcoma, Alveolar",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.550.660.675,"Rhabdomyosarcoma, Embryonal",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.560,Myxosarcoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.620,Osteosarcoma,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.620.655,"Osteosarcoma, Juxtacortical",N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.620.800,"Sarcoma, Ewing's",N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.650,Phyllodes Tumor,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.775,"Sarcoma, Alveolar Soft Part",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.800,"Sarcoma, Clear Cell",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.820,"Sarcoma, Endometrial Stromal",N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.450.795.830.760,Sarcoma 37,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.795.830.780,Sarcoma 180,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.795.830.800,"Sarcoma, Avian",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.795.830.850,"Sarcoma, Yoshida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.795.853,"Sarcoma, Myeloid",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.870,"Sarcoma, Small Cell",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C01.252.410.040.552.846.944.596,"Tuberculosis, Female Genital",N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.252.410.040.552.846.944.721,"Tuberculosis, Male Genital",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.040.552.846.944.847,"Tuberculosis, Renal",N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N
C01.252.410.040.692.606,Mycetoma,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.090,Bacillaceae Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.090.072,Anthrax,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.222.151,Botulism,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.410.222.310,"Enterocolitis, Pseudomembranous",N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.222.325,Enterotoxemia,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.222.440,Gas Gangrene,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.334.329,Erysipeloid,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.514,Listeria Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.514.533,"Meningitis, Listeria",N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.410.868.806,Staphylococcal Food Poisoning,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.868.820,Staphylococcal Skin Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.868.820.270,Furunculosis,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.868.820.270.200,Carbuncle,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.890,Streptococcal Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.890.210,Ecthyma,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.890.240,"Endocarditis, Subacute Bacterial",Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.890.328,Erysipelas,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.890.485,Impetigo,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.890.670,Pneumococcal Infections,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.890.731,Rheumatic Fever,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.252.410.890.731.649,Rheumatic Heart Disease,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.252.410.890.823,Scarlet Fever,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.252.620,"Pneumonia, Bacterial",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.620.500,"Pneumonia, Mycoplasma",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.620.550,"Pneumonia, Pneumococcal",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.620.600,"Pneumonia, Rickettsial",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.620.620,"Pneumonia, Staphylococcal",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.810,"Sexually Transmitted Diseases, Bacterial",N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.252.810.201,Chancroid,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.252.810.401,Gonorrhea,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.252.825.150,"Angiomatosis, Bacillary",N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.825.210,Ecthyma,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.825.340,"Fasciitis, Necrotizing",N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.252.825.360,Granuloma Inguinale,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.252.825.705,Rhinoscleroma,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N
C01.252.825.770,Staphylococcal Skin Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.825.770.270,Furunculosis,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.825.770.770,Staphylococcal Scalded Skin Syndrome,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.825.790,"Syphilis, Cutaneous",N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.825.820,"Tuberculosis, Cutaneous",N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.825.910,Yaws,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847,Spirochaetales Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.193,Borrelia Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.193.569,Lyme Disease,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.193.569.600,Lyme Neuroborreliosis,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.847.193.644,Relapsing Fever,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.840,Treponemal Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.840.558,Pinta,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.840.744,Syphilis,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.252.847.840.744.657,"Syphilis, Cardiovascular",Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.840.744.800,"Syphilis, Cutaneous",N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.840.744.871,"Syphilis, Latent",N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N
C01.323,Brain Abscess,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.323.800,"Toxoplasmosis, Cerebral",N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.395,Central Nervous System Infections,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.395.750,"Empyema, Subdural",N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.539,Infection,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.069,"Aneurysm, Infected",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.160,"Bone Diseases, Infectious",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.160.412,Osteitis,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
C01.539.160.495,Osteomyelitis,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.160.595,Periostitis,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.539.160.762,Spondylitis,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.539.160.762.301,Discitis,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.160.886.722,"Tuberculosis, Spinal",N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N
C01.539.190,Cardiovascular Infections,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.190.249,"Endocarditis, Bacterial",Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.190.249.407,"Endocarditis, Subacute Bacterial",Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.190.500,"Syphilis, Cardiovascular",Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.195,Catheter-Related Infections,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.539.221,Communicable Diseases,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.221.500,"Communicable Diseases, Emerging",N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.234,Community-Acquired Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.248,Cross Infection,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375,Eye Infections,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.177,Corneal Ulcer,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.539.375.354,"Eye Infections, Bacterial",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.354.220.250,"Conjunctivitis, Inclusion",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.354.220.625,Ophthalmia Neonatorum,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.539.375.354.220.800,Trachoma,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.354.400,Hordeolum,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.354.450,"Keratoconjunctivitis, Infectious",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.354.800,"Tuberculosis, Ocular",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.354.900,"Uveitis, Suppurative",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.354.900.350,Endophthalmitis,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.354.900.675,Panophthalmitis,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.539.375.450,"Eye Infections, Fungal",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.450.900,"Uveitis, Suppurative",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.450.900.350,Endophthalmitis,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.375.450.900.675,Panophthalmitis,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.539.392,Focal Infection,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.392.433,"Focal Infection, Dental",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.539.424,"Gingivitis, Necrotizing Ulcerative",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.539.503,Laboratory Infection,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.539.597,Opportunistic Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
